Date/Time;Open;High;Low;Close;Range (high - low)
26/08/2003;993.71;997.93;983.57;996.73;14.36
27/08/2003;996.73;998.05;993.33;996.79;4.72
28/08/2003;996.79;1004.12;991.42;1002.84;12.70
29/08/2003;1002.84;1008.85;999.52;1008.01;9.33
02/09/2003;1008.01;1022.59;1005.73;1021.99;16.86
03/09/2003;1021.99;1029.34;1021.99;1026.27;7.35
04/09/2003;1026.27;1029.17;1022.19;1027.97;6.98
05/09/2003;1027.97;1029.21;1018.19;1021.39;11.02
08/09/2003;1021.39;1032.41;1021.39;1031.64;11.02
09/09/2003;1031.64;1031.64;1021.14;1023.17;10.50
10/09/2003;1023.17;1023.17;1009.74;1010.92;13.43
11/09/2003;1010.92;1020.88;1010.92;1016.42;9.96
12/09/2003;1016.42;1019.65;1007.71;1018.63;11.94
15/09/2003;1018.63;1019.79;1013.59;1014.81;6.20
16/09/2003;1014.81;1029.66;1014.81;1029.32;14.85
17/09/2003;1029.32;1031.34;1024.53;1025.97;6.81
18/09/2003;1025.97;1040.16;1025.75;1039.58;14.41
19/09/2003;1039.58;1040.29;1031.89;1036.30;8.40
22/09/2003;1036.30;1036.30;1018.30;1022.82;18.00
23/09/2003;1022.82;1030.12;1021.54;1029.03;8.58
24/09/2003;1029.03;1029.83;1008.93;1009.38;20.90
25/09/2003;1009.38;1015.97;1003.26;1003.27;12.71
26/09/2003;1003.27;1003.45;996.08;996.85;7.37
29/09/2003;996.85;1006.89;995.31;1006.58;11.58
30/09/2003;1006.58;1006.58;990.36;995.97;16.22
01/10/2003;995.97;1018.22;995.97;1018.22;22.25
02/10/2003;1018.22;1021.87;1013.38;1020.24;8.49
03/10/2003;1020.24;1039.31;1020.24;1029.85;19.07
06/10/2003;1029.85;1036.48;1029.15;1034.35;7.33
07/10/2003;1034.35;1039.25;1026.27;1039.25;12.98
08/10/2003;1039.25;1040.06;1030.96;1033.78;9.10
09/10/2003;1033.78;1048.28;1033.78;1038.73;14.50
10/10/2003;1038.73;1040.84;1035.74;1038.06;5.10
13/10/2003;1038.06;1048.90;1038.06;1045.35;10.84
14/10/2003;1045.35;1049.49;1040.84;1049.48;8.65
15/10/2003;1049.48;1053.79;1043.15;1046.76;10.64
16/10/2003;1046.76;1052.94;1044.04;1050.07;8.90
17/10/2003;1050.07;1051.89;1036.57;1039.32;15.32
20/10/2003;1039.32;1044.69;1036.13;1044.68;8.56
21/10/2003;1044.68;1048.57;1042.59;1046.03;5.98
22/10/2003;1046.03;1046.03;1028.39;1030.36;17.64
23/10/2003;1030.36;1035.44;1025.89;1033.77;9.55
24/10/2003;1033.77;1033.77;1018.32;1028.91;15.45
27/10/2003;1028.91;1037.75;1028.91;1031.13;8.84
28/10/2003;1031.13;1046.79;1031.13;1046.79;15.66
29/10/2003;1046.79;1049.83;1043.35;1048.11;6.48
30/10/2003;1048.11;1052.81;1043.82;1046.94;8.99
31/10/2003;1046.94;1053.09;1046.94;1050.71;6.15
03/11/2003;1050.71;1061.44;1050.71;1059.02;10.73
04/11/2003;1059.02;1059.02;1051.70;1053.25;7.32
05/11/2003;1053.25;1054.54;1044.88;1051.81;9.66
06/11/2003;1051.81;1058.94;1046.93;1058.05;12.01
07/11/2003;1058.05;1062.39;1052.17;1053.21;10.22
10/11/2003;1053.21;1053.65;1045.58;1047.11;8.07
11/11/2003;1047.11;1048.23;1043.46;1046.57;4.77
12/11/2003;1046.57;1059.10;1046.57;1058.53;12.53
13/11/2003;1058.56;1059.62;1052.96;1058.41;6.66
